,Z,W
0,100.00,4.80
1,100.01,4.81
2,100.02,4.82
3,100.03,4.83
4,100.04,4.84
5,100.05,4.85
6,100.06,4.86
7,100.07,4.87
8,100.08,4.88
9,100.09,4.89
10,100.10,4.90
11,100.11,4.91
12,100.12,4.92
13,100.13,4.93
14,100.14,4.94
15,100.15,4.95
16,100.16,4.96
17,100.17,4.97
18,100.18,4.98
19,100.19,4.99
20,100.20,5.00
21,100.21,5.01
22,100.22,5.02
23,100.23,5.03
24,100.24,5.04
25,100.25,5.05
26,100.26,5.06
27,100.27,5.07
28,100.28,5.08
29,100.29,5.09
30,100.30,5.10
31,100.31,5.11
32,100.32,5.12
33,100.33,5.13
34,100.34,5.14
35,100.35,5.15
36,100.36,5.16
37,100.37,5.17
38,100.38,5.18
39,100.39,5.19
40,100.40,5.20
41,100.41,5.21
42,100.42,5.23
43,100.43,5.24
44,100.44,5.25
45,100.45,5.26
46,100.46,5.27
47,100.47,5.28
48,100.48,5.29
49,100.49,5.30
50,100.50,5.31
51,100.51,5.32
52,100.52,5.33
53,100.53,5.34
54,100.54,5.35
55,100.55,5.36
56,100.56,5.38
57,100.57,5.39
58,100.58,5.40
59,100.59,5.41
60,100.60,5.42
61,100.61,5.43
62,100.62,5.44
63,100.63,5.45
64,100.64,5.46
65,100.65,5.47
66,100.66,5.48
67,100.67,5.50
68,100.68,5.51
69,100.69,5.52
70,100.70,5.53
71,100.71,5.54
72,100.72,5.55
73,100.73,5.56
74,100.74,5.57
75,100.75,5.59
76,100.76,5.60
77,100.77,5.61
78,100.78,5.62
79,100.79,5.63
80,100.80,5.64
81,100.81,5.65
82,100.82,5.66
83,100.83,5.68
84,100.84,5.69
85,100.85,5.70
86,100.86,5.71
87,100.87,5.72
88,100.88,5.73
89,100.89,5.74
90,100.90,5.76
91,100.91,5.77
92,100.92,5.78
93,100.93,5.79
94,100.94,5.80
95,100.95,5.81
96,100.96,5.83
97,100.97,5.84
98,100.98,5.85
99,100.99,5.86
100,101.00,5.87
101,101.01,5.88
102,101.02,5.90
103,101.03,5.91
104,101.04,5.92
105,101.05,5.93
106,101.06,5.94
107,101.07,5.96
108,101.08,5.97
109,101.09,5.98
110,101.10,5.99
111,101.11,6.00
112,101.12,6.02
113,101.13,6.03
114,101.14,6.04
115,101.15,6.05
116,101.16,6.06
117,101.17,6.08
118,101.18,6.09
119,101.19,6.10
120,101.20,6.11
121,101.21,6.13
122,101.22,6.14
123,101.23,6.15
124,101.24,6.16
125,101.25,6.17
126,101.26,6.19
127,101.27,6.20
128,101.28,6.21
129,101.29,6.22
130,101.30,6.24
131,101.31,6.25
132,101.32,6.26
133,101.33,6.27
134,101.34,6.29
135,101.35,6.30
136,101.36,6.31
137,101.37,6.32
138,101.38,6.34
139,101.39,6.35
140,101.40,6.36
141,101.41,6.37
142,101.42,6.39
143,101.43,6.40
144,101.44,6.41
145,101.45,6.42
146,101.46,6.44
147,101.47,6.45
148,101.48,6.46
149,101.49,6.48
150,101.50,6.49
151,101.51,6.50
152,101.52,6.51
153,101.53,6.53
154,101.54,6.54
155,101.55,6.55
156,101.56,6.57
157,101.57,6.58
158,101.58,6.59
159,101.59,6.60
160,101.60,6.62
161,101.61,6.63
162,101.62,6.64
163,101.63,6.66
164,101.64,6.67
165,101.65,6.68
166,101.66,6.70
167,101.67,6.71
168,101.68,6.72
169,101.69,6.74
170,101.70,6.75
171,101.71,6.76
172,101.72,6.78
173,101.73,6.79
174,101.74,6.80
175,101.75,6.82
176,101.76,6.83
177,101.77,6.84
178,101.78,6.86
179,101.79,6.87
180,101.80,6.88
181,101.81,6.90
182,101.82,6.91
183,101.83,6.92
184,101.84,6.94
185,101.85,6.95
186,101.86,6.96
187,101.87,6.98
188,101.88,6.99
189,101.89,7.00
190,101.90,7.02
191,101.91,7.03
192,101.92,7.05
193,101.93,7.06
194,101.94,7.07
195,101.95,7.09
196,101.96,7.10
197,101.97,7.11
198,101.98,7.13
199,101.99,7.14
200,102.00,7.16
201,102.01,7.17
202,102.02,7.18
203,102.03,7.20
204,102.04,7.21
205,102.05,7.22
206,102.06,7.24
207,102.07,7.25
208,102.08,7.27
209,102.09,7.28
210,102.10,7.30
211,102.11,7.31
212,102.12,7.32
213,102.13,7.34
214,102.14,7.35
215,102.15,7.37
216,102.16,7.38
217,102.17,7.39
218,102.18,7.41
219,102.19,7.42
